,komentar
3573,Boleh sambil makan ice cream ga dok dimobil?
3574,"Review anak ""kursi pijit tak ada rasa"
3575,Kenak mental bapaknya pas anak bilang rasanya sama aja wkwk
3576,"Dokter sukses yo.. semoga mentalnya sudah siap sm mobil RR 20M itu, pas dirusak sama anak, sopir tidak sengaja, jangan dimarahi"
3577,"lancar selalu rejekinya dok, semoga saya juga dlancarkan juga dalam urusan rejeki "
3578,"Suka dengan kalimat ""Dibesarkan dengan duit haram"" ‚. Semangat Om untuk memperjuangkan keadilan untuk David."
3579,"Anak aku juga stemcell, efek nya ke kepintaran nya, tapi untuk Motorik kasar nya belum sempurna, disuruh sampai 3x stemcell nya, lumayan jg duit yang harus dikumpulin nih, haha.."
3580,"yang kumpul disini, hati-hati ngasi makan anak duit haram, kalau besar sangat merepotkan, kalian para orang tua nanti yang susah"
3581,"Semoga David mendapatkan keadilan seadil adilnya di Negri Ini , semangat buat papa David untuk memperjuangkan keadilan buat david "
3582,Semoga keadilan segera berpihak pada David Kawal sampai tuntas
3583,Memang hati buat para orang tua jangan smpai kita kasih makan anak istri makan uang haram karena efek buruknya akan kembali ke diri sendiri
3584,"dok, kalau support saya supaya jadi atlet yang hebat dan sukses mau ngga dok "
3585,Dokter richard hatinya mulia pantas rejeki lancar kayak air terjun gak pernah berhenti suka nolong org sedekah lewat nolong org di kasih kerjaan di bantu sekolah masyaallah
3586,Masyaallah dokter Richard Allah yang membalas..... rejekinya farel ..ayoo harus semangat farel .... kedokteran loh.... impiannya anak saya kuliah kedokteran yang saya jg belum tau apa saya bs nguliahin di kedokteran
3587,Salut buat Dokter Richard dan Istri .. 
3588,selain pintar dan hebat dokter juga punya hati mulia
3589,Dok terimakasih telah membantu  dia yang sedang kesusahan.  kau angkat derajat nya dan kau mulia kan anak In. Dia yang butuh kasih sayang . Allah Tuhan nya lah yang sayang kepada nya di hadirkan nya lah Nene dan dokter yang tulus memberi kasih syang kepada nya. aku aja nangis dok dengar cerita nya. 
3590,"Liat deh Farel..... Nanti kalau kamu sukses banyak uang, mama papa kamu pasti mengaku kamu anaknya. Tidak seperti sekarang kamu seperti tukang minta2 mengemis pengakuan, perhatian dan kasih sayang mereka"
3591,Puji TUHAN.. masih ada org baik... sehat2 sllu dokter.. merinding dan tidak sengaja air mata mengalir.. perasaan seorang ibu... “sehat2 sllu ya kalian.. buat dokter.. salam nakes dok.. karena melayani tidak harus didunia kesehatan kita ya dok.. abaikan respon negative tetap semangat tebar kebaikan ya dok.. GBU and your family ..…
3592,"Sukses ya nak.... sebagai ibu .... saya tak pernah menyangka, seorang ibu tega seperti ibumu.... bahkan saat membuka mata setelah tertidur.... yang kulihat pasti anakku… sehat2 ya farel"
3593,Saya menangis sedih
3594,"Masya Allah Tabarokallah sehat,, terus Aminn"
3595,"nangis nonton cerita farel,, kamu anak yang hebat farel semoga nanti kamu bisa menjadi orang yang besar dan sukses. Terimakasih juga buat dokter Richard sudah mengundang farel banyak banget pelajaran yang diambil dari seorang farel,, sukses selalu dokter Richard Tuhan memberkati dokter selalu "
3596,Merinding Ya Allah... Semoga diperluas rejeki org yang tulus seperti hatinya....
3597,sabar ya yang kuat farel kisah kita hampir sama bedanya kamu lebih kuat.  aku korban broken home dan sempat dinodai org karena aku mencari perhatian diluar sana.  pengen cerita di podcast tapi malu
3598,BTW DNA salmonnya  emang bagus aku akui
3599,"Salfok sama kacamata dokter yang miring, iya gak sih? Apa aku yang salah lihat ya?"
3600,"wkwk bikin deg degan.  aku dari masa kuliah S1 (di palembang) udah langganan di klinik athena saat mereka baru punya 1 tmpt & bed terbatas. Aku akuin memang produknya bagus banget meskipun mahal. Sampai aku S2 si bandung, aku masih pakai athena & upgrade yang ke WtapiS. Hanya mungkin ini saran pribadiku, pelayanannya bisa diperbaiki untuk lebih menyamankan customer. Rasanya serba marketing banget & agak dipaksa untuk melakukan treatment lain, produk lain, dll. yang tadinya butuh relax, jadi agak keganggu. Makanya lebih sering order by marketapilace akhirnya daripada harus mensayatkan diri menolak ini & itu. Ini presepsi saya saja ya. Mungkin yang lain tetap nyaman. But overall aku suka banget semua produknya bagus banget ¸"
3601,Pengen DNA SALMON
3602,"Sdh banyak yang dr alami sampai dijemput aparat juga ada,  lagi nunggu kejutan dan kejujuran apa lagi lah ini ya"
3603,"netizen tolong aku, sampaikan ini ke dr,  kelihatan dokter suka bantu orang, disini abah saya nampung satu keluarga, total 10 orang ,bukan sodara tapi ini murni kemanusiaan, tapi untuk membiayai makan dll kami ga sanggup hanya bisa bantu tempat tinggal, satu keluarga anak masih di bawah umur semuanya gaada yang sekolah, kelaparan juga, satu anak perempuannya umur 5thn jadi korban pemerkosaan, semoga dapat perhatian ya"
3604,"rompi oren bukan berarti tahanan, bisa jadi warna dari online shop nya shopee ‚ cuma di bkin baper aja dulu."
3605,"Aku slalu dukung dokter, salut sama dokter yang mengangkat derajat para janda"
3606,Sdh bicara ke pemerintah setempat... kelurahan dan kecamatan pasti akan di perhatikan oleh pemerintah bagaimana solusinya pendidikan ada diknas pendidikan ... ga ada kerjaan ada  tenaga kerja atau ada lahan umkm yang pemerintah bisa bantu .  Coba ke pemerintah setempat rt rw nya lapor ke kelurahan ... untuk anak anak bisa di dampingi dg KPAI ... coba cari solusi nya begitu dulu semua semua ke dr richard waduh... cobalah jangan selalu ingin instan ... ada pemerintah setempat yang bisa bantu solusinya harus gimana..
3607,"tolong jangan ada yang bilang surga dibawah kaki orang tua kalau jahat begini surga hanya dibawah kaki ibu yang baik, penuh cinta kasih & bijaksana"
3608,"Dok, waktu lihat tiktoknya saya berdoa begini  ya allah temui seseorang siapapun buat farel bisa sekolah, buat neneknya nggak mudah sakit bisa berobat, makasih ya dok kamu membantunya "
3609,"Seharusnya content ini di tonton oleh anka2 seperti Lolly yang kurang bersyukur memiliki ibu kandung yang mati2an cari nafkah gak peduli di hina dan dijulidin netizen demi menghasilkan duit membiayai hidup anak2nya dengan baik tidak kekurangan sama sekali dalam hal pendidikan dan ekonomi, tapi anak udah gede merasa bisa cari duit sendiri malah membuka aib mamanya sendiri di medsos. Anak jaman now bisa cari duit dikit merasa berhak atas hidupnya dan lupa semua perjuangan orang tuanya"
3610,"Jahat bnget sih bu pak anaknya di sia2in kayak gini, semoga banyak ya sayang dan peduli sama kamu ya farel sukses dan tetap jadi anak baik"
3611,Dok yang ibu anak 3 yang anaknya diperkosa sama pemilik kos .. dibawa podcast kasihan banget butuh keadilan
3612,kalau kau betul betul laki laki kau tanggung jawablah selesaikan pendidikan di luar sana banyak yang lebih sedih dari kisahmu yang mah sekolah supaya masa depannya lebih baik
3613,"Banyak orang yang pingin bnget punya anak berjuang mati2an biar bisa punya anak. Ini malah punya anak udah cakep , shaleh disia2in. Tuhan cabut surga ditelapak Kakimu buk. Terimakasih dr. richard kalau habis ini orang tuanya ngaku2 peduli tolong langsung di ulti ya tolong banget"
3614,"Kamu baru diakui oleh ibumu setelah kamu sukses nanti buktikan kalau kamu mampu kamu bisa sukses, biar hati ibu mu terketuk oleh mu, semangat anak baik semoga hati ibu mu di lembut kan"
3615,Ini yang jualan itu bukan yang bangun jam 1 malem bikin kue?
3616,Ini saya jujur2an ya cuma di sini...saya minum susu cuerpo ini buat jadiin suplemen sehari2 sebelum nya saya coba gainer apapun kaya naik nya ga signifikan gtu loh dan saya scrol2 shopee nemu ini susu rate nya bagus saya asal coba dan cuma abis 4 pcs naik ampe 4 kilo belum jg satu bulan ‚‚ ini saya jujur ga di bayar dan ga tau susu apa ini tadi nya
3617,"Honest review dr aku yang udah konsumsi cuerpo kalian beli susu ini bakal dapat panduan olahraga dan meal plan, jd proses naikin bb nya lebih terarah, aku sebulan naik 5kg padahal aku minum hanya sesekali. Sekedar berbagi review hehe"
3618,Kalau genetiknya ectomorph Emang bisa gemuk apa? Ada orng lingkaran tangan nya kecil dan SDH mkan banyak tapi gak gemuk
3619,Rendah gula apaan. Gulanya 20gr/ takaran saji kok. Manis banget.  Susu Gainer lain / 500 kalauri kandungan gula nya di bawah 10gr
3620,Aku minum ini malah kembung perut begah banget rasanya ga enak pokonya di peruntuku huhu padahal enak si rasanya
3621,Aku pernah minum susu semacam itu tapi susah BAB kl ini gitu juga ga dok? Karna aku tipe yang susah naik BB tapi gampang banget turun
3622,Kaka apakah ada resiko efek samping di masa tua?
3623,Min tiap minum ini beberapa jam setelahnya aku jadi mules & BAB cair.
3624,"Aku minum ini dah pouch ketiga. Naik kok. Padahal ngga ngikutin rules banget. Makan biasa, snack, sama 1 serve cuerpo. Anjurannya 2x. tapi aku engga. Takut eneg dan bosan. Naik kok 3-4 kg dalam 1 bulan. Sama olahraga beban. Prinsipnya dari harian nambah minimal 500kkal aja dah cukup naikin bb perlahan. Btw susu ini gluten free."
3625,"Udah beli baru pouch ke 2 ini, cuma malas makan masih kadang masih sehari sekali makan tapi alhamdulillah terselamatkan pake cuerpo biar bb gk turun."
3626,"Ka,aku kan perut nya gemuk… alias gede perut tapi pngen gemukin yang lain bisa ga. bisa ga ngaruh ke perut ga"
3627,"Istri yang bersyukur udah punya segala nya maka nya cuma mau mnta dokter ada dsisi nya btw Mau juga dok uang jajan nya,..."
3628,kok ada ya orang yang naro duit milyaran di rekening ‚
3629,Yaa Allah jangankan 10M.. dikasih 1jt aja lo udah senang banget.. buat beli beras dan sayur dan sabun jg keperluan rumah
3630,Masyallah.. memuliakan istrinya jadi tambah lancar rezekinya ya dokter.. Allahumma Sholli ala Sayyidina Muhammad bismillah suamiku jg begini 
3631,aku juga kalau jadi istri dokter gak pngen apa cuma mau suami sehat saja syang sma kita udah cukup biar nikmati masa tua bersama 
3632,"Hahaha, pengen ngakak, tapi the best sih kokoh hehehe, (dalam hati istri, uang mu kan uang ku juga, hahaha) happy birthday buat cece, happy selalu, bahagia selalu "
3633,Selamat ya untuk istri tercinta. Nampaknya istrinya ga matre ya hehehe. tetap rendah hati dan smoga hanya maut yang bs memisahkan kalian
3634,"Masya Allah itu karna istri nya dr @renieffendi24 ga matre sama suami nya sendiri dari @dr.richard_lee …dari ekspresi dr Reni ngomong, gerak tubuh nya mengungkapkan kalau dr Reni itu orgnya santun dan bersahaja Masya Allah"
3635,Dok jalan2 ke sini banyak banget emak2 yang kena gtu
3636,"Padahal sudah banyak contoh korban nya, tapi tetap aja pada asal beli, karna viral /karena diiklanin sama selebgram/artis  dijual dengan harga murah,"
3637,dulu banget tshun 2008an pernah aku pake krim lingsi krim wallet karena ikut2an tmen2 mukanya pada putih2. untung diriku terselamatkan‚
3638,Di Shopee mau dong beli cream dokter Richard
3639,"Dok,, saya pakai tabita udah 4 tahun ,,tapi aman aja,,. pengen di periksa kulit ini, tapi apalah daya kantong masih belum penuh……"
3640,Inara cantik banget
3641,"kalau kalangan menengah ke bawah itu dok pasti pake cream Abal"" yang penting muka glowing, keliatan putih kek pocong …, tanpa mikirin efek dan jangka panjangnya , saya dulu jg pake cream Abal"" dr mulai temulawak, dr pure, walet, karna emang cream yang ada pada era itu cream yang Abal"" kek gitu, tapi Alhamdulillah muka saya ga kek si ibunya, brarti saya beruntung, cuma sekarang yang saya rasain sepertinya muka udah ga seger aja gitu dok, karna lapisan kulit sudah menipis mungkin, karna kalau kulit di putihin terus lapisan kulitnya bisa menipis, benar ga sih dok? Pengen banget bisa treatment di klinik Athena, tapi apalah daya cuma bisa beli skincare yang 250 rbu itupun sudah mahal menurut ku ¸, karena emang cantik itu mahal yah dok ¸"
3642,kalau flek gitu pake cream athena saja apa bisa hilang??
3643,Kok sama ya dok dengan payungku ‚‚ sama juga melindungi dr hujan dan panas..  malah punyaku bisa dilipat kecil ‚‚ harganya 23k bisa masuk tas.  masuk mobil.  masuk jok sepeda motorku ‚‚ fleksibel
3644,"Payungnya aja kalau di uangkan bisa renov rumahku.dok...  gimana mobilnya masyaallah kayaknya uang satu juta dua juta gak ada"" apa""nya ya buat para sultan begini"
3645,Dok kalau kena pisau sm gunting tetap robek ga?
3646,Mending beli mobil ayla atau agya saja dok terus beli payung ... Buat apa beli mahal mahal sama aja Fungsi nya ‚
3647,Dokter kalau aku punya mobil Honda Jazz aja aku udah senang apalagi punya mobil semahal punya dokter..  Mimpi kayaknya ‚‚
3648,cuma dokter richard yang mau hadiah payung rela keluarin kocek milyaran ‚
3649,semahal apapun kalau yang rusak tetap aja rusak dok namanya aja buatan manusia.  numpang foto aja dimobil baru nya dok boleh gak
3650,Duhh dok kalau butuh payung nya doang mobil nya mending di give away deh wkwk
3651,Aku kira payungnya bisa melesatkan peluru macam film 007
3652,Orang kaya jarang banget kena hujan kayanya
3653,Worth it lah sebanding harga RR nya
3654,"Kok sama dok payung nya beda di harga aja, punyaku di harga 80rb punya pak dokter 80 juta beda nol nya aja"
3655,Ga rusak dong karena begitu hujan langsung naik rolls royce 
3656,saya nonton sampai akhir dan setiap dr lee kasih pertanyaan si rk langsung pucat terus ‚‚ bikin ngakak aja lihat muka rk yang tegang. yang bikin jleb banget saat dr lee kasih nasehat agar anak asuh mereka tidak salah jalan  semoga orang tua anak lihat dan mengambil kembali anaknya. Kasian. Takut anaknya salah jalan.
3657,"Dr.richard ngeri juga ya ‚ buset on point nya ga kira"". Apa ga keringat dingin duduk disitu "
3658,"Cowok manggil sayang, Beb ke cowok masa di bilang wajar sm rk? terus bilang saya Kangen juga di bilang wajar?‚ Wajar bagi LGBT kali"
3659,Dr. Richard to the point banget nyindirnya.. Tapi benar sih Dok.. Gemas dan kesal liat cowok model begitu.. Kasian sama mantan istrinya.. Tertipu banget. Semoga mbaknya dapat pengganti suami yang jauh lebih baik. Amin.
3660,podcast yang mengedukasi ... pertanyaan2 yang berbobot dapat memancing kejujuran haha
3661,"Tim meylisa.. Lebih percaya dia, karna dia punya bukti."
3662,"Cowo bilang kangen sama cowo itu g normal ya ,,,, cowo normal ketemu teman akrab "" we anjing gimana kabarnya , masih hidup lu """
3663,"Dia keringetan, padahal kata dr Richard suhu nya dingin"
3664,"Dari awal host nya udah pro ke si cewe, disini jadi kesannya menyuduntukan, bukan benar2 mendengarkan kedua belah pihak.."
3665,Kebanyakan kalau cowok Gak ibadah nya selalu kuat... Dan tepat waktu... 2 teman ku juga gitu soalnya
3666,"Aku salah 1 karyawan dr richard yang sangat merasakan kasih tangan beliau ke karyawannya, semuanya tanpa pilih kasih, semua rata dari paling atas sampai paling bawah sekalipun, gak pernah sama sekali di bedakan"
3667,"Balasan dr Allah dokter itu karena dia udah mengumbar aib ibu dan saudara kandung nya di YouTube lagi yang di tonton jutaan org. Seburuk apapun saudara kandung jangan di jadiin konten bagaimana pun itu sedarah, bakti taat sama suami itu memang kewajiban tapi imam yang baik itu menuntun istrinya ke jalan yang benar bukan perselisihan keluarga suami mlh mendukung buat klarifikasi di Chanel YouTube nya katanya ilmu agama nya bagus"
3668,"debat soal skinker abal-abal aja, dia kalah sama dokter, gimana debatin case kariawan ini, yang ada dokter Richard dikasi dalil2 "
3669,"Aku baru liat beritanya, tapi penasaran kenapa lapornya ke dokter? ngga ke disnaker atau kan sebanyak 10 karyawan gitu bisa tuh ambil jalur hukum aja kalau emang haknya ga terpenuhi. Karena riskan banget ya udah kerja terus haknya ditahan."
3670,"Pernah 7 tahun kerja di PT, kalau pas tanggal gajian jam 10 pagi belum masuk tf an aja karyawan dah pada gelisah ‚, karna biasanya pagi2 udah gajian, dan bos pun juga mengerti kalau gajian itu memang ""di harap2"" karyawan setelah kerja keras, jadi ga habis fikir sama orang yang suka nunda2 bayaran orang lain, itu dzolim dan menyakiti"
3671,"Btw ada dalilnya loh, bayarlah upah seseorang sebelum keringatnya kering. Sebegitunya di Islam memperhatikan hak seorang pekerja, karna kalau telat, kita bisa berdosa.. menunda hak orang lain.. apalagi sampai ga dibayar.."
3672,"benar, bos ku dulu orangnya pelit banget sama org luar. Tapi dia sama karyawannya sendiri baik, tiap lebaran ngasih parcel, tiap Imlek bagi angpao, kalau ada acara karyawannya duluan yang dibagi-bagi sembako dll. Karena tanpa karyawan, atasan juga ga bakal bisa sukses sampai sejauh itu. Makanya, gaji itu wajib banget dibayarkan."
3673,"Aku pernh ko beli satu nasi bagi 2 SMA bos. Aku juga gak pernah mkir Dio pelit. Atau sisa makanannya ... karna ak befikir... mkn 1 bungkus juga gak habis. Jadi gak masalah jika mau bebagi. terus ada memang sesekali bos juga lupa, dengan tanggal gajian aku . Atau ada luar kota, terkadang lupa, aku juga gak pernh..mkir aneh , secara kan.  Bos juga terkadang manusia, pikiran juga bukan hanya di karyawan nya‚, intinya harus makalaumi aja ya, jika lupa, tanggal itu hrus gajian, GPP selisih 1 hari atau 2 hari. Kecuali udah berminggu, itu fatal."
3674,Dok... Ga takut di sampairin??? Aku tuhh ya ngeri2 sedap loh liat dokter.. tapi kami slalu mendoakan Tuhan menyertai dokter & keluarga selalu.. God bless
3675,"Aku gajian yang harusnya tanggal 1 di bayar tgl 7, 14, paling parah tgl 20  berbagai alasan...  lupa..  nggak sempet, atm, m banking rusak... ada aja lah alasan di tunda2... hampir debat terus masalah gaji. Sampai nagih . Padahal aku tipe orang yang gak pernah pinjam duit ke bos sekalipun.. aku harap gak ketemu sama orang yang sifatnya sama"
3676,"Iya sih dok, aku nyimak nya kalau soal makanan kayaknya emang ga perlu di besar2 kan. Intinya ini yang bikin heran tuh gaji di ulur ulur waktunya. Padhal kan mungkin kecil duit gaji segitumah buat si bos. Tapi kan bos jg harus mikir , ongkos , makan, bayar ini itu pake duit. Ga habis pikir."
3677,"bentar saya masih linglung nih „ tasyi bilang itu karyawan baru yang berani2 nya memfitnah, suka ngevideoin gak jelas gitu, terus pernah ngancem tasyi katanya mau nyebarin foto tasyi yang durumah tanpa hijab„  jadi yang benar yang mana ini,"
3678,Gak usah jauh.. SIAPAPUN KITA MAU BOS DLL JABATANNYA… kalau HAK NYA GAK DIBERIKAN TERIMA GAK? dengan ALASAN DLL
3679,Keren dokter … mantap statemant nya ....  Angkat aku jadi murid alias karyawanmu pak dokter...
3680,"Tonton sampai abis. Banyak yang dijelasin embaknya menunjukkan bahwa mbak ini tidak bersyukur. Contohnya ""dikasih uang buat belanja oleh2 "" oleh2 aja masi dipikirin. Namanya kerja mba gaada yang enak. yang bermasalah bukan TA tapi mbak kurang bersyukur ‚"
3681,"Dr awal emang gak di spill gaji ya? kalau emang di rasa kecil kenapa mau? cari aja tmpat lain??? kalau saya sih kalau dr awal pembicaraan gaji udah gak masuk di saya,ya saya cr tmpat lain lah"
3682,"mereka pake masker untuk nutupi wajah agar tidak dikenali, ini saja sdh mencurigakan. Jika memang benar untuk apa sembunyikan wajah?. untuk yang akan hire team wajib hati2 dengan org2 seperti ini bukannya membantu malahan bermasalah. Jika memang ada masalah harusnya  di bicarakan baik2 jangan begitu jg caranya"
3683,Bahkan Dalam Agama Islam Mengajarkan Bahwa gaji di bayarkan kepada Seseorang Sebelum Keringatnya Kering
3684,Duh udah masuk DRL bahaya ini bahaya...  nanti DRL di ceramahin pake ayat2 suci lo dok..  gak takut dok?
3685,"Tiati dok nanti dikasih hadits dalil, nanti dimaafin queen semoga menjadi ladang gandum bagi queen wkwk"
3686,"Padahal senang banget kalau liat konten TA yang battle. waktu ada masalah sama keluarga nya, sempet mikir ya namanya keluarga pasti ada aja kan masalah internalnya. tapi pas ada kasus ini, malah kasian sama TA kayanya sumber masalahnya di orang yang SAMA"
3687,"Orang ngerti agama katanya keluarga ustad tapi ko suka nya nahan2 gaji orng sih miris, dipublik menter kekayaan dan makan enak lah karyawan nya ga dipikirin kalau tanpa karyawan Lo ga akan bisa "
3688,sedih ya.. itulah kenyataan jarang banget bos yang punya kesadaran bahwa gaji itu hak.. bukan gaji atas belas kasihan. . benci banget kalau ada bos yang ngasih gaji terus ada kenaikan dia bilang sy kasih kenaikan karena kasian liat kalian... mau marah gimana.. dikata kita pengemis.. kita kerja pake tenaga waktu dan pikiran
3689,"Amanah bokap untuk jangan tunggu keringat karyawanku kering baru dibayar, Alhamdullilah meski dihantam covid dll usaha kecilku masih bertahan"
3690,Jika itu benar sangat disayangkan selama ini dalil agama terus dibawa sekarang aku jadi yakin kenapa ibu dan saudara kembarnya demikian  satu sisi yang ga habis pikir adl melihat privasi orang mana dihancurin meski ganti rugi tapi isi hp diliat semua jahat betul ya
3691,Bayarlah upah karyawanmu sbelum keringatnya kering
3692,"Kok kedengarannya kayak ngga pamer sih‚ suaranya masih tetap rendah hati, jd berasa senang aja liatnya‚"
3693,saya kira dr.richard bakal nyetir keluar rumah eh taunya di halaman rumah doang 
3694,"Mendengar harganya saya stress berat,  tapi walau keliatan pamer Dokter richard aslinya hatinya baik."
3695,Kirain keluar jalanan dok… muter2 halaman aja ternyataa..  kerenn dok Menghibur banget Reviewnya
3696,Semakin ke sini semakin merasa jauh dari athena karna pasti makin ga terjangkau harganya wkwk
3697,kira bawa ke jalan raya eh tau nya cuma muter2 aja ‚
3698,Dan terakhir pintu nya tetap dbanting ya dok bukan pakai jempol aja kayak tutor nya‚
3699,"Masyallah dokter hidup di dunia seperti hidup di surga apapun ada,"
3700,"Jangan dilebih2kan niat mu sudah baik mba, tapi jangan sampai kebablasan harus nya km yang dapat pahala nanti nya malah km yang jd banyak dosa"
3701,"kalau buka masalah org yang bikin kamu sakit itu bukan aib. Itu hak kamu buat membukanya selain bisa jadi pelajaran buat yang lain. kalau pasangan dah nyakitin jangan bilang mereka buka aib ya. Rasa sakit mereka itu yang terpenting kita dengarkan, kita validasi."
3702,"Aku bernasib sama dg yang di video ini. Pernikahan cuma bertahan 2 bulan juga. Aku depresi banget... sampai 3 tahun ini belum sembuh total. Sangking sedihnya jadi korban suami gay. Mau speak up di anggap buka aib, gak di speek up bakal banyak di luar sana gay yang merendahkan pr normal demi di anggap normal. Sakit banget rasanya kehilangan keperawanan, yang di jaga baik2 malah di rusak sama suami HOMO"
3703,"yang komen buka aib apasih, saya justru bersyukur jd tau ciri-ciri cowo belok hadeh"
3704,"Semoga ada yang bisa bantu hubungi saya dengan Atok, saya kena kasus penipuan dari paid promote yang dia promosikan di story nya, sampai sekarang uang saya yang buat modal usaha hilang gitu aja, pihak atok & penjual mem blokir semua nya"
3705,semoga mbaknya sudah cek up ke dokter liat dari berita ini ngeri banget na'udzubillah semoga jg mbaknya mau mengehentikan ngomongin mantan nya ke berbagai media 
3706,"Bagus.. tidak apa dibuka. Hal seperti ini memang harus diberitakan sedetail mungkin.  kalau memang belok gay lgbt atau apapun namanya. Ya jangan merugikan org lain, dengan menikahi wanita normal hanya untuk menutupi identitas ke lgbt an nya. semoga jd efek jera bagi yang lain.  Kalian tidak ingn direndahkan oleh org yang normal atau straight. dengan menikahi wanita normal hanya untuk sembunyikan identitas brarti anda merendahkan kami yang normal."
3707,yang selegram ... yang lagi viral  itu yang kemarin podcast sama bang hotman ya  kalau gak salah.... terus tanya min... ini kata nya selegram ya dari mana tu ... kediri apa tung agung gitu ya min???
3708,Sy sudah menasehati dia berkali kali suruh istighfar ... Sabar sy juga jelasin sifat bojo e manja sama semua baik sm lelaki sama wanita kalau udah akrab ya manja ... sekarang begini suami mana yang mau bicara belum bisa di jelaskan besok sudah ke kantor polisi naik status ke sosial media ya  jelas sok suaminnya ... Boleh kita bucin boleh kita cemburu tapi jangan sampai kita besar curiga sm suami hingga semua teman2 cowok di kira ada hubungan ... Lelaki mana yang gak bete sm cowok sj di curigai ... Ya ngamuk si suami nya ... La terus kita mau jelasin piye sama cewek di cemburu in sm lelaki juga di cemburu in di jelasin baik baik ga percaya lah bingung  ... Sy sampai kehabisan akal sm istri nya jelasin ga ada hubungan apa apa tapiai istrinya masih tetap tidak percaya
3709,Ga mau muluk2 cuma pengen bayar utang & beli rumah. Biar punya rumah sendiri.  Ga nebeng dirumah mertua
3710,"500juta buat berangkat haji furoda suami istri, haji tanpa antri selagi ada umur"
3711,"Waduh dr Richard.... kalau punya 500 jt, pertama sy mau bantu perbaikan gereja sy dulu, kedua sy bantu mama sy yang sekarang berumur 86 thn, tuk berobat, selebihnya sy mau menambah bangunan di belakang rmh sy... Bocor kalau hujan.."
3712,"kl punya 500jt mau treatment hati. pergi umroh,."
3713,"Jika ada 500 juta sy mau benahi tempat mengaji anak2 dok karena kalau hujan suka kecipratan air anak saat ngaji, plus mau nambahin buat beli meja ngajinya yang msh kurang sekitar 35 meja, nn"
3714,Bismilah umroh tahun ni ma suami dan anak .
3715,Ngilangin bopeng dan jrawat juga sedot lemak perut..... kalau suruh milih kecantikan ya Dok.. jika Tanya nya punya uang 500jt pingin ngapain sy pingin pergi umroh  dan buka usaha kecantikan Athena Milik Dokter
3716,Buat jutawan apalagi milyader uang segitu receh buat kita sangat berarti  buat beli rumah sama mobil‚‚‚‚
3717,"Percaya dok, aman menurut kami, kami itu Indonesia. Soalnya standard keamanan di Indonesia biasanya jauh dibawah rata2 dunia seperti beberapa kasus produk makanan dan minuman"
3718,Di beberpaa group bayi dan kelas parenting dr 7 tahun lalu saya join memang udah tidak direkomendasikan pakai bedak bayi.
3719,"Ketika aku lahiran 3 tahun yang lalu, dokter di RS bilang tidak usah pake bedak2an gitu karna bisa menyebabkan berbagai macem kanker waktu itu saya di tunjukkin penelitiannya jadi ada kandungan apa gitu yang bisa menyebabkan kanker, akhirnya saya ga pake bedak bayi2 gitu, paling minyak telon yang anti nyamuk"
3720,"Setau info yang saya baca, Bedak Johnson yang di Amerika tidak sampai dipasarkan ke Indonesia dan bahan bakunya jg beda sumbernya"
3721,"Sejak 14 tahun lalu punya anak, gak sekalipun dipakein bedak tabur.. Mendingan lotion bayi aja lebih aman untuk anak-anak apalagi yang dermatitis atopik hehe.. Tim no bedak bayi club deh dok ‚ maknya aja yang pake bedak buat make up after sunscreen ‚‚‚‚‚"
3722,"Udah lama dokter ngga posting soal edukasi kek gini, senang banget dok bisa kasih ilmu gratis lagi"
3723,"Aku jg pakai Johnson's yang ungu , soalnya suka wangi nya enak"
3724,Dari kecil sampai 31 tahun ini aku pake buat muka aku dok. aman2 aja
3725,Adik cewek pake masker mirip dokter reni istrinya dokter. Gaya2 ngomong nya jg mirip 
3726,"Mantap Xaverius mencetak orang orang sukses, terima kasih dokter richard tidak melupakan almamater nya..."
3727,sekolah aku ni tapi aku Xaverius 4  yang masuk siang 
3728,"Si adek cweknya mirip dengan istrinya dok, cara ngomongnya paras nya walaupun pakai masker juga"
3729,Rejeki kan Allah yang atur. Saya aja gk sekolah alhamdulillah otak saya gk kurang dari yang sekolah tinggi hanya saja tidak ada ijazah tapi sy yakin kl Allah maha pemilik rejeki
3730,"Sy selalu juara umum.. Meski bukan sll peringkat 1. Saat udah terjun dunia sesungguhnya ternyata aku goblok sekali. Dan tmn2ku dulu yang suka nyontek di aku, sekarang lbh sukses dong.."
3731,"Maaf Saran aja sih kalau bikin konten alangkah baiknya duduk/jalannya agak dijarak ya dok, saling menjaga satu sama lain. apa lagi inara seorang wanita muslimah dan sekarang statusnya single mom¸.emang sih lagi kerja setidaknya kita menjaga hati org yang kita syang & menghindari fitnah. lebih baik mencegah dari pada mengobati"
3732,"Banyak media online yang goreng berita tentang dr richard dan Inara dan posting di YouTube,  segitunya ya mereka cari duit cari viewer dengan memfitnah orang udah kaga ada berita lain apa duh media online ini …"
3733,"dr Richard sama Inara kan image nya bagus jadi kalau bagus bagus aja berita nya gak hot, makanya di goreng lah walaupun nyatanya gak benar, kerja yang cerdas lah wahai para pencari berita"
3734,"Netizen pada insecure, mending lo workout, meditasi, improve diri dalam segala betterment biar ga gini2 amat. Setiap komen kalian tu reflection dari diri kalian sendiri. Seharusnya kalau punya insecurities tuh diilangin dengan cara menjadi lebih baik lagi, ampun dah"
